DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
Jan1950;0.4954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Feb1950;0.72035;0.71573;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mar1950;0.07946;0.33391;0.42705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apr1950;0.25323;0.1831;0.32654;0.40449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
May1950;0.05436;0.16428;0.12816;0.24393;0.31977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jun1950;-0.38372;-0.20565;-0.05486;-0.05903;0.05126;0.11917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jul1950;-0.29145;-0.4209;-0.33173;-0.1998;-0.17798;-0.08202;-0.0159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aug1950;0.02658;-0.15282;-0.26129;-0.23951;-0.14525;-0.13489;-0.05472;0.00498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sep1950;0.06741;0.03116;-0.10689;-0.19574;-0.18794;-0.11282;-0.10588;-0.03668;0.01558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oct1950;0.42696;0.2476;0.16821;0.02526;-0.06983;-0.06871;-0.0103;-0.0106;0.05085;0.09513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nov1950;0.26869;0.42167;0.27738;0.19;0.0446;-0.049;-0.04855;0.00778;0.00497;0.06477;0.10707;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dec1950;-0.23545;0.01335;0.29081;0.21393;0.1473;0.01343;-0.07628;-0.07367;-0.0172;-0.01815;0.04112;0.08307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jan1951;0.1269;-0.06687;0.02797;0.27898;0.21984;0.14253;0.00617;-0.0908;-0.0852;-0.02708;-0.02765;0.03089;0.07126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Feb1951;0.47627;0.40218;0.21961;0.2229;0.37357;0.30726;0.22108;0.07852;-0.02229;-0.01927;0.03245;0.02744;0.08236;0.1209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mar1951;0.46954;0.57744;0.55117;0.42128;0.40699;0.48412;0.41132;0.33161;0.1902;0.08618;0.08357;0.12203;0.11043;0.16;0.19508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apr1951;-0.62598;-0.11889;0.03857;0.06581;0.01066;0.03225;0.15551;0.15597;0.12;0.01059;-0.0689;-0.06806;-0.02437;-0.02589;0.02474;0.06091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
May1951;0.67026;0.07321;0.28081;0.36784;0.36587;0.30098;0.29463;0.36758;0.33345;0.27378;0.14993;0.06343;0.05901;0.09602;0.08608;0.13104;0.16414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jun1951;-0.26528;0.27205;-0.09103;0.10995;0.19438;0.19735;0.15095;0.15483;0.2258;0.21425;0.18043;0.07724;-0.00495;-0.0054;0.03266;0.02528;0.06724;0.09844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jul1951;0.05263;-0.13977;0.21994;-0.06761;0.09769;0.16831;0.17491;0.1332;0.1418;0.21524;0.20418;0.17873;0.0796;0.00336;7E-04;0.03756;0.03089;0.06986;0.09949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aug1951;0.11753;0.09354;-0.0429;0.23041;-0.00844;0.12687;0.18891;0.19916;0.16389;0.171;0.23361;0.21521;0.19029;0.09668;0.02514;0.02033;0.05408;0.04566;0.08231;0.1114;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sep1951;0.37159;0.29405;0.26316;0.13051;0.34199;0.12464;0.2386;0.29273;0.30201;0.26935;0.27355;0.32617;0.29887;0.26194;0.16523;0.09246;0.08752;0.11607;0.1054;0.13915;0.1663;;;;;;;;;;;;;;;;;;;;;;;;;;;
