DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
Jan1950;0.72951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Feb1950;-0.25017;0.38353;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mar1950;0.55007;0.33622;0.63388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apr1950;0.37693;0.65662;0.542;0.70941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
May1950;0.09576;0.23228;0.43425;0.38823;0.53459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jun1950;0.03002;0.04424;0.17581;0.32438;0.2909;0.41254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jul1950;0.70103;0.40667;0.35423;0.43633;0.56478;0.53578;0.63496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aug1950;0.25438;0.58264;0.40194;0.36419;0.44568;0.56569;0.54099;0.63887;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sep1950;0.18961;0.29084;0.5472;0.42587;0.38283;0.44457;0.55441;0.53501;0.62866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oct1950;-0.03182;0.1825;0.24277;0.51549;0.41225;0.38032;0.44961;0.55482;0.52985;0.61518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nov1950;0.32578;0.08526;0.24475;0.29362;0.55223;0.44901;0.41558;0.47962;0.57865;0.55443;0.63582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dec1950;-0.08845;0.14202;0.01608;0.18767;0.24833;0.51362;0.41389;0.39048;0.45577;0.54742;0.52273;0.60036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jan1951;0.03966;-0.06848;0.14232;0.03287;0.19736;0.26193;0.51788;0.41484;0.39711;0.46398;0.55193;0.5266;0.59944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Feb1951;0.57522;0.34127;0.21044;0.32502;0.1826;0.30547;0.34807;0.59266;0.48354;0.46365;0.52721;0.60786;0.5825;0.65105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mar1951;0.48369;0.70827;0.55214;0.42916;0.47275;0.32431;0.41455;0.43172;0.65571;0.54699;0.52476;0.58472;0.6645;0.63929;0.7052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apr1951;0.20407;0.37734;0.54381;0.4983;0.44327;0.48575;0.39778;0.44671;0.4571;0.66113;0.55795;0.53647;0.59531;0.67665;0.65572;0.7199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
May1951;-0.37549;-0.20398;-0.04203;0.09618;0.09407;0.07365;0.12516;0.11559;0.17381;0.20729;0.42301;0.36307;0.35885;0.42766;0.51347;0.49123;0.56116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jun1951;0.52991;0.11745;0.15301;0.25021;0.35087;0.34789;0.32705;0.36295;0.34579;0.37219;0.38098;0.5511;0.49086;0.48555;0.54479;0.62485;0.60519;0.67008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jul1951;0.18011;0.43557;0.12495;0.15994;0.24924;0.33925;0.33727;0.32559;0.36212;0.34989;0.36655;0.38067;0.53712;0.48796;0.47709;0.53187;0.60769;0.58896;0.65109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aug1951;1.13663;0.88315;0.90809;0.59235;0.57839;0.63266;0.70216;0.69221;0.67461;0.70054;0.67049;0.69328;0.69088;0.81379;0.76044;0.74949;0.79737;0.8666;0.84825;0.90319;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sep1951;0.55825;1.08341;0.95451;0.98337;0.69563;0.68211;0.7301;0.79448;0.78952;0.77471;0.79787;0.76895;0.78973;0.78406;0.89549;0.85089;0.84255;0.88865;0.95315;0.93629;0.98912;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oct1951;1.0844;1.03697;1.38039;1.25694;1.25185;0.96154;0.92745;0.96595;1.01732;1.00236;0.97784;0.99455;0.96101;0.98175;0.96651;1.06524;1.02201;1.01304;1.05324;1.11092;1.09428;1.13987;;;;;;;;;;;;;;;;;;;;;;;;;;
Nov1951;-0.25109;0.79958;0.86997;1.26967;1.1643;1.17866;0.89669;0.86964;0.90826;0.96148;0.94933;0.92899;0.94414;0.91153;0.93046;0.91641;1.01682;0.97469;0.96858;1.00931;1.06825;1.0529;1.09946;;;;;;;;;;;;;;;;;;;;;;;;;
Dec1951;0.61776;0.18919;0.89314;0.9694;1.33378;1.23173;1.23855;0.96474;0.9403;0.97424;1.02124;1.00793;0.98535;1.00154;0.96713;0.98592;0.96952;1.06562;1.02315;1.01897;1.05904;1.11168;1.09642;1.13893;;;;;;;;;;;;;;;;;;;;;;;;
Jan1952;0.0469;0.4102;0.13802;0.81106;0.93054;1.2897;1.1935;1.20091;0.94425;0.9229;0.95576;1.00184;0.98872;0.96747;0.98445;0.95293;0.96496;0.94985;1.0429;1.0009;0.99903;1.03987;1.09229;1.07673;1.11803;;;;;;;;;;;;;;;;;;;;;;;
Feb1952;0.19639;0.14551;0.3888;0.16035;0.77716;0.90803;1.26139;1.17175;1.18328;0.93619;0.9173;0.94979;0.99538;0.98296;0.96272;0.98053;0.95291;0.96152;0.94552;1.03954;0.99752;0.99595;1.03757;1.08916;1.07483;1.11638;;;;;;;;;;;;;;;;;;;;;;
Mar1952;-0.03585;0.04962;0.04913;0.27674;0.1134;0.6983;0.86015;1.2224;1.13191;1.1507;0.91137;0.89299;0.92794;0.9737;0.96208;0.94381;0.96169;0.93757;0.94354;0.92529;1.01748;0.97954;0.97796;1.0206;1.07079;1.05738;1.09827;;;;;;;;;;;;;;;;;;;;;
Apr1952;-1.56014;-1.33295;-1.19746;-1.10023;-0.81583;-0.84634;-0.22669;0.11963;0.63568;0.60351;0.70755;0.51372;0.51944;0.56263;0.61463;0.60791;0.59431;0.61731;0.60511;0.61606;0.61608;0.72268;0.68464;0.68935;0.73546;0.79146;0.77805;0.82399;;;;;;;;;;;;;;;;;;;;
May1952;-0.25725;-1.09247;-1.02845;-0.97777;-0.92243;-0.73105;-0.76219;-0.29497;-0.01766;0.45298;0.44819;0.57918;0.41183;0.42122;0.46457;0.5176;0.51525;0.50001;0.52528;0.51345;0.52876;0.53023;0.64111;0.60333;0.61104;0.65615;0.71263;0.69821;0.74579;;;;;;;;;;;;;;;;;;;
Jun1952;0.13923;-0.05154;-0.70549;-0.70096;-0.6847;-0.67284;-0.54656;-0.59056;-0.2169;-0.00028;0.4087;0.41018;0.54405;0.39277;0.40126;0.4451;0.49442;0.49023;0.47941;0.50358;0.49377;0.51328;0.51417;0.6258;0.58944;0.59688;0.6413;0.69609;0.68201;0.72664;;;;;;;;;;;;;;;;;;
Jul1952;0.28249;0.22;0.03998;-0.52682;-0.52841;-0.51601;-0.51688;-0.40314;-0.44984;-0.12049;0.06189;0.42654;0.43204;0.55712;0.40968;0.42085;0.46328;0.51191;0.50785;0.49816;0.52498;0.51749;0.53853;0.53765;0.65076;0.61545;0.61974;0.66175;0.71241;0.69938;0.74202;;;;;;;;;;;;;;;;;
Aug1952;0.08745;0.18115;0.1724;0.01862;-0.48961;-0.4909;-0.47753;-0.47308;-0.36058;-0.40897;-0.11049;0.0552;0.40376;0.41169;0.53334;0.3916;0.40338;0.4448;0.49163;0.48821;0.4898;0.51575;0.50966;0.53259;0.52949;0.64197;0.60858;0.61532;0.65833;0.70909;0.69645;0.73951;;;;;;;;;;;;;;;;
Sep1952;-0.9636;-0.60855;-0.36738;-0.24773;-0.32445;-0.76326;-0.75369;-0.73891;-0.72512;-0.60922;-0.64725;-0.3539;-0.18949;0.15569;0.18125;0.31436;0.19146;0.20795;0.25193;0.29977;0.30221;0.3099;0.33579;0.33346;0.35965;0.36343;0.48054;0.44885;0.45487;0.49958;0.55206;0.53941;0.58377;;;;;;;;;;;;;;;
Oct1952;-1.1633;-1.45874;-1.10892;-0.82416;-0.62776;-0.65326;-1.04117;-1.01845;-0.99977;-0.97664;-0.85976;-0.88555;-0.59546;-0.43135;-0.0889;-0.04905;0.09377;-0.01548;0.0094;0.0576;0.10688;0.11392;0.12997;0.15805;0.16695;0.19165;0.19901;0.32091;0.29571;0.29773;0.34399;0.39808;0.38622;0.43445;;;;;;;;;;;;;;
Nov1952;-0.42664;-1.18;-1.44804;-1.16929;-0.90876;-0.71642;-0.72969;-1.10029;-1.07571;-1.05897;-1.03466;-0.92012;-0.94424;-0.66156;-0.49723;-0.16045;-0.11901;0.02445;-0.08029;-0.05233;-0.00353;0.04486;0.05471;0.07116;0.10005;0.11199;0.13517;0.144;0.26539;0.24368;0.24608;0.29252;0.34661;0.33536;0.38566;;;;;;;;;;;;;
Dec1952;-1.00653;-0.84317;-1.35938;-1.57008;-1.28923;-1.03241;-0.8264;-0.82634;-1.18641;-1.15924;-1.14391;-1.11435;-1.00181;-1.02587;-0.74835;-0.58451;-0.24718;-0.20042;-0.05141;-0.15082;-0.12031;-0.07097;-0.02249;-0.0112;0.00644;0.03543;0.05026;0.07166;0.08096;0.20308;0.18212;0.18482;0.23169;0.28507;0.27348;0.32408;;;;;;;;;;;;
Jan1953;0.68473;-0.10456;-0.2667;-0.9339;-1.25876;-1.04269;-0.81374;-0.62664;-0.64976;-1.01802;-1.00054;-0.99117;-0.97378;-0.86824;-0.89739;-0.61907;-0.46453;-0.13945;-0.09801;0.04272;-0.05827;-0.0314;0.01574;0.0614;0.06687;0.08208;0.1097;0.11702;0.13762;0.14438;0.26395;0.24197;0.24793;0.29443;0.34585;0.33351;0.38101;;;;;;;;;;;
Feb1953;0.49944;0.80078;0.16377;-0.06345;-0.74212;-1.10394;-0.91561;-0.71605;-0.56059;-0.59139;-0.96032;-0.94442;-0.93454;-0.92088;-0.81778;-0.84738;-0.57634;-0.42315;-0.10286;-0.06408;0.07131;-0.02877;-0.00224;0.04449;0.08908;0.09388;0.11001;0.13805;0.14352;0.16413;0.17034;0.28828;0.26581;0.27133;0.3175;0.36825;0.35591;0.40314;;;;;;;;;;
Mar1953;0.36466;0.54953;0.82004;0.41075;0.18499;-0.48369;-0.91553;-0.79113;-0.61936;-0.48547;-0.52979;-0.89645;-0.88474;-0.87419;-0.86059;-0.75707;-0.78849;-0.51699;-0.36688;-0.05011;-0.01881;0.11369;0.0113;0.03625;0.0812;0.12457;0.12935;0.14491;0.17245;0.17467;0.19559;0.20053;0.31566;0.29367;0.30042;0.34567;0.39676;0.38411;0.43133;;;;;;;;;
Apr1953;1.00286;0.9867;1.04555;1.20595;0.95057;0.74427;0.18567;-0.31844;-0.29785;-0.20684;-0.1402;-0.22396;-0.59893;-0.59342;-0.58378;-0.57668;-0.47976;-0.51547;-0.2615;-0.12536;0.16758;0.18582;0.2981;0.19048;0.20815;0.24829;0.28916;0.29171;0.29949;0.32652;0.32117;0.34337;0.34468;0.44913;0.42666;0.4347;0.47789;0.52678;0.51492;0.55962;;;;;;;;
May1953;0.83927;1.17139;1.17212;1.21509;1.34894;1.15978;1.00316;0.57519;0.15839;0.12474;0.16466;0.18203;0.07377;-0.30447;-0.30641;-0.29767;-0.29802;-0.21241;-0.25164;-0.01412;0.10964;0.37861;0.39441;0.48915;0.37718;0.39091;0.42654;0.46594;0.46483;0.46864;0.49501;0.48705;0.51036;0.51043;0.60804;0.57896;0.58929;0.63065;0.67642;0.66497;0.70685;;;;;;;
Jun1953;0.71134;1.00922;1.26022;1.25542;1.29367;1.41105;1.26238;1.14016;0.79143;0.44958;0.37801;0.40166;0.3994;0.28672;-0.06538;-0.07117;-0.06366;-0.06692;0.01114;-0.0289;0.18528;0.29793;0.5364;0.54215;0.62486;0.51601;0.52636;0.55908;0.59629;0.59352;0.59483;0.61865;0.60857;0.6352;0.63222;0.71782;0.68539;0.70198;0.74208;0.78568;0.77497;0.81642;;;;;;
Jul1953;-0.14336;0.45461;0.80568;1.06785;1.07472;1.11584;1.23835;1.10803;0.99947;0.68646;0.37309;0.31923;0.34548;0.35161;0.24706;-0.08569;-0.09156;-0.08587;-0.08965;-0.01368;-0.05073;0.15958;0.27276;0.502;0.50837;0.58941;0.4828;0.49591;0.52702;0.56414;0.56254;0.56765;0.59119;0.58963;0.6152;0.61339;0.69508;0.66349;0.67897;0.71955;0.76403;0.75369;0.79522;;;;;
Aug1953;-0.0502;-0.16914;0.3149;0.65717;0.91245;0.91803;0.96069;1.07654;0.95839;0.85902;0.5742;0.28086;0.25812;0.29112;0.29458;0.19825;-0.1189;-0.12178;-0.11496;-0.11752;-0.03826;-0.07325;0.12922;0.24104;0.46474;0.47104;0.55731;0.45462;0.46766;0.49773;0.53432;0.5336;0.53942;0.56313;0.55798;0.58316;0.58342;0.66754;0.63708;0.64934;0.68811;0.73394;0.72343;0.76418;;;;
Sep1953;-0.49148;-0.41059;-0.42118;0.07635;0.42288;0.6905;0.70538;0.74895;0.87246;0.77049;0.6809;0.41486;0.14342;0.13201;0.17237;0.18889;0.09794;-0.20522;-0.20626;-0.20043;-0.20241;-0.12198;-0.15588;0.04611;0.1554;0.38127;0.39167;0.47805;0.37899;0.39596;0.42632;0.46319;0.46274;0.46541;0.48905;0.48819;0.51202;0.51169;0.59702;0.5671;0.58192;0.62083;0.66613;0.65512;0.69646;;;
