DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
Jan1950;0.85819;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Feb1950;-0.11447;0.52656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mar1950;1.20691;0.94223;1.16013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apr1950;0.25003;0.90266;0.80994;0.99275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
May1950;0.09222;0.14318;0.59731;0.58062;0.7548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jun1950;0.23082;0.2039;0.24717;0.56846;0.55377;0.68938;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jul1950;0.62009;0.47441;0.39982;0.41896;0.69689;0.68499;0.80991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aug1950;0.34725;0.57714;0.50646;0.43123;0.46155;0.72245;0.71549;0.83733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sep1950;0.63338;0.64746;0.75928;0.69836;0.59976;0.61082;0.85362;0.85099;0.96538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oct1950;-0.47365;0.30341;0.40105;0.58993;0.56055;0.49999;0.52104;0.74993;0.73588;0.8427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
