DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
Jan1950;1.10991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Feb1950;0.29194;0.98029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mar1950;0.44696;0.53077;0.98897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apr1950;0.58439;0.67082;0.7119;1.01039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
May1950;0.19419;0.51049;0.58298;0.65718;0.97702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jun1950;-0.1432;0.0275;0.2826;0.37434;0.42965;0.69013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jul1950;0.7439;0.38483;0.4035;0.58728;0.66591;0.71393;0.95052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aug1950;0.22082;0.58711;0.37845;0.39421;0.58524;0.65259;0.7002;0.92847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sep1950;0.08544;0.17637;0.49769;0.3293;0.35665;0.5279;0.59066;0.63221;0.83509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oct1950;-0.89809;-0.50231;-0.30119;0.09427;-0.00842;0.0341;0.22016;0.29093;0.33898;0.5494;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nov1950;-0.00564;-0.75681;-0.48013;-0.28453;0.08828;-0.0228;0.02119;0.19576;0.2686;0.31237;0.51282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dec1950;-0.22905;-0.16463;-0.74698;-0.49;-0.30746;0.06069;-0.05243;-0.00316;0.16527;0.23957;0.28179;0.47838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jan1951;-0.30076;-0.40142;-0.30625;-0.78134;-0.52939;-0.35248;0.00631;-0.10466;-0.04277;0.12898;0.2029;0.24523;0.43788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Feb1951;1.037;0.57456;0.32559;0.14641;-0.43701;-0.2834;-0.1564;0.16856;0.04014;0.09421;0.25546;0.32251;0.36153;0.5462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
