DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
Jan1950;-0.59636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Feb1950;-0.22126;-0.47915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mar1950;-0.67925;-0.65248;-0.7347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apr1950;0.01191;-0.39342;-0.46107;-0.55718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
May1950;0.26953;0.17826;-0.10599;-0.15969;-0.25289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jun1950;-0.05012;0.11902;0.06291;-0.15634;-0.19122;-0.25574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jul1950;1.375;0.95753;0.88618;0.81808;0.6068;0.55553;0.46296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aug1950;0.74645;1.31547;1.05167;1.01582;0.97073;0.78516;0.73669;0.64764;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sep1950;0.24057;0.62618;1.18107;0.96031;0.95634;0.91654;0.75138;0.70964;0.63296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oct1950;-1.408;-0.63433;-0.04698;0.64791;0.51749;0.56363;0.54007;0.38527;0.3538;0.29643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nov1950;-0.80256;-1.50649;-0.89626;-0.29509;0.42015;0.31515;0.37494;0.35716;0.21333;0.18785;0.1409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dec1950;-1.21026;-1.2431;-1.64775;-1.10579;-0.51448;0.22563;0.13951;0.20876;0.1944;0.05879;0.03676;-0.00312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jan1951;-0.08262;-0.86836;-1.08018;-1.53936;-1.07088;-0.52571;0.19403;0.1024;0.17148;0.16033;0.02586;0.00476;-0.03203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Feb1951;0.29207;0.13725;-0.4227;-0.76484;-1.29725;-0.92552;-0.43378;0.22447;0.13312;0.19803;0.18771;0.05685;0.03652;-0.00019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mar1951;0.29128;0.29754;0.16901;-0.25529;-0.55445;-1.05762;-0.81018;-0.39196;0.22281;0.13547;0.19286;0.18395;0.05567;0.03638;-0.00062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apr1951;-0.07567;0.03752;0.10809;0.04464;-0.29214;-0.54395;-0.97523;-0.7813;-0.41158;0.17237;0.09163;0.14742;0.13893;0.01468;-0.00353;-0.03551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
May1951;0.43688;0.26795;0.27321;0.33442;0.26678;0.00753;-0.21583;-0.60955;-0.48329;-0.19698;0.28647;0.21263;0.26518;0.25965;0.14507;0.12701;0.09784;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jun1951;0.76049;0.76922;0.62601;0.62596;0.64826;0.59179;0.38623;0.18053;-0.17343;-0.0583;0.13324;0.50852;0.45422;0.49172;0.48973;0.38126;0.36403;0.33507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jul1951;-0.15047;0.41142;0.54059;0.46752;0.46287;0.495;0.46068;0.2933;0.1102;-0.18823;-0.07611;0.08993;0.43639;0.38799;0.42141;0.41954;0.31909;0.30343;0.27926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aug1951;-0.61762;-0.49324;0.04767;0.23121;0.19472;0.21446;0.26131;0.2386;0.09591;-0.06074;-0.32234;-0.20943;-0.03986;0.30704;0.26362;0.30058;0.29761;0.2029;0.18836;0.16787;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sep1951;0.31197;-0.13252;-0.20865;0.15722;0.29004;0.24196;0.24039;0.2702;0.2555;0.12509;-0.01496;-0.25317;-0.15108;-0.00367;0.32057;0.28465;0.3151;0.31371;0.22227;0.20951;0.18837;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oct1951;-0.19041;0.06187;-0.24445;-0.29371;0.05257;0.19802;0.15711;0.15478;0.18557;0.17163;0.0453;-0.07991;-0.29931;-0.20704;-0.0597;0.25689;0.22625;0.25817;0.25219;0.1655;0.1537;0.13426;;;;;;;;;;;;;;;;;;;;;;;;;;
Nov1951;0.00432;-0.2544;-0.00322;-0.27245;-0.32251;0.02482;0.17222;0.14044;0.13711;0.16763;0.15549;0.03003;-0.09271;-0.30639;-0.21363;-0.0683;0.24741;0.21418;0.24164;0.23389;0.14992;0.13724;0.11732;;;;;;;;;;;;;;;;;;;;;;;;;
Dec1951;-0.95656;-0.53159;-0.54261;-0.23177;-0.4429;-0.45654;-0.09518;0.05984;0.0352;0.03307;0.06688;0.05707;-0.06329;-0.17924;-0.38315;-0.29255;-0.14621;0.16759;0.13833;0.16796;0.16131;0.08025;0.06851;0.04912;;;;;;;;;;;;;;;;;;;;;;;;
Jan1952;-1.09198;-1.39899;-0.88252;-0.78303;-0.43651;-0.60682;-0.59531;-0.22054;-0.0593;-0.07545;-0.08269;-0.0435;-0.04892;-0.16536;-0.27953;-0.47397;-0.38207;-0.23343;0.0831;0.05167;0.08216;0.0735;-0.00606;-0.01641;-0.03419;;;;;;;;;;;;;;;;;;;;;;;
Feb1952;-0.31587;-0.8261;-1.13643;-0.86882;-0.78575;-0.47677;-0.63911;-0.61999;-0.24113;-0.08617;-0.10074;-0.10684;-0.06769;-0.07278;-0.18753;-0.29991;-0.49244;-0.40264;-0.25163;0.06433;0.03506;0.06288;0.05376;-0.02695;-0.03648;-0.05408;;;;;;;;;;;;;;;;;;;;;;
Mar1952;0.39448;0.08747;-0.33246;-0.61962;-0.53969;-0.5702;-0.35386;-0.52664;-0.54221;-0.19379;-0.05209;-0.07321;-0.07783;-0.04066;-0.04702;-0.16141;-0.27615;-0.46809;-0.37983;-0.23544;0.06584;0.04656;0.07321;0.06733;-0.01028;-0.0209;-0.03893;;;;;;;;;;;;;;;;;;;;;
Apr1952;0.93233;0.83336;0.63057;0.28524;-0.00465;-0.05657;-0.18555;-0.029;-0.22061;-0.27285;0.00792;0.12484;0.09452;0.08643;0.11527;0.10508;-0.01715;-0.13729;-0.33848;-0.24988;-0.11638;0.1734;0.15147;0.17114;0.1683;0.09401;0.08387;0.06625;;;;;;;;;;;;;;;;;;;;
