DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
Jan1950;0.27301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Feb1950;-0.1185;0.12396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mar1950;0.83528;0.51058;0.49458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apr1950;-0.13844;0.55565;0.34551;0.37954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
May1950;-0.51979;-0.36602;0.32718;0.1793;0.26319;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jun1950;0.27696;-0.28584;-0.23852;0.37595;0.23244;0.31074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jul1950;-0.01888;0.11993;-0.29744;-0.28059;0.30355;0.17484;0.26808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aug1950;-0.47393;-0.40133;-0.16808;-0.44823;-0.42677;0.1448;0.04675;0.15859;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sep1950;-0.02085;-0.27786;-0.29075;-0.14413;-0.34824;-0.38241;0.09603;0.01847;0.12713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oct1950;0.52501;0.3276;0.0933;0.044;0.14748;-0.02804;-0.09701;0.26534;0.17722;0.25808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nov1950;0.5041;0.63469;0.49008;0.30063;0.2453;0.32855;0.17557;0.09323;0.39567;0.31285;0.36906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dec1950;0.27678;0.49131;0.63825;0.5159;0.36011;0.31311;0.36684;0.23965;0.15355;0.40659;0.33594;0.38551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jan1951;0.55244;0.588;0.69722;0.77101;0.68806;0.55144;0.50047;0.54955;0.42973;0.35143;0.56494;0.49088;0.51953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Feb1951;0.04851;0.44534;0.49394;0.61907;0.70349;0.62559;0.50653;0.45324;0.49016;0.38229;0.31557;0.52517;0.46281;0.49704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mar1951;0.68989;0.49645;0.68;0.71218;0.81206;0.87332;0.80633;0.69984;0.64785;0.67514;0.56749;0.49194;0.677;0.60928;0.63041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apr1951;-0.23134;0.3754;0.30996;0.53509;0.57515;0.68999;0.76371;0.70012;0.59604;0.54616;0.57539;0.47306;0.40387;0.58624;0.5284;0.55502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
