DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
Jan1950;1.11524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Feb1950;0.28225;0.96601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mar1950;0.31903;0.42759;0.92625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apr1950;0.53153;0.55117;0.60984;0.96448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
May1950;0.21839;0.47329;0.49781;0.58083;0.93568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jun1950;0.00777;0.13125;0.34024;0.38035;0.44831;0.7507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jul1950;0.81814;0.54484;0.54248;0.68931;0.71914;0.77776;1.0488;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aug1950;0.44979;0.78913;0.62123;0.61145;0.76165;0.78414;0.83653;1.08835;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sep1950;0.1434;0.38808;0.70627;0.56904;0.57707;0.70979;0.7333;0.77536;0.99746;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oct1950;-0.88877;-0.43887;-0.09211;0.31234;0.24104;0.26733;0.41547;0.44756;0.49807;0.73169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nov1950;0.09565;-0.64906;-0.3677;-0.05523;0.32651;0.2491;0.27375;0.4087;0.44464;0.489;0.70742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dec1950;-0.37062;-0.15463;-0.70573;-0.43284;-0.13635;0.2534;0.1819;0.21276;0.34654;0.38537;0.42984;0.64687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
