DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
Jan1950;0.20399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Feb1950;-0.22319;0.00895;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mar1950;0.02049;-0.08611;0.04156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apr1950;0.01099;-0.01373;-0.0736;-0.00135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
May1950;0.43941;0.29535;0.23378;0.18606;0.22293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jun1950;-0.32438;0.05559;0.02411;-0.01195;-0.04612;-0.00362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jul1950;1.24557;0.66892;0.76756;0.7148;0.66417;0.61695;0.62649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aug1950;0.65877;1.22654;0.79755;0.88607;0.84977;0.81042;0.76505;0.77274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sep1950;0.56027;0.79419;1.2781;0.89897;0.98234;0.9403;0.90142;0.86289;0.86687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oct1950;-1.07617;-0.17115;0.23179;0.82896;0.54627;0.6638;0.63859;0.60471;0.57008;0.58496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nov1950;-0.35612;-1.0546;-0.32397;0.1044;0.71491;0.4473;0.56504;0.54174;0.51288;0.48013;0.498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dec1950;-0.83712;-0.73474;-1.18159;-0.47862;-0.04489;0.58989;0.33838;0.46187;0.44291;0.41791;0.38742;0.40772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jan1951;-0.0384;-0.61925;-0.65338;-1.11721;-0.46327;-0.05312;0.56445;0.31288;0.44042;0.42573;0.40139;0.37238;0.39271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Feb1951;0.59857;0.39634;-0.07806;-0.31086;-0.87464;-0.31793;0.04976;0.62631;0.37473;0.49325;0.4789;0.45427;0.42604;0.44574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mar1951;0.18954;0.42971;0.34941;0.04389;-0.16343;-0.68375;-0.24284;0.07773;0.62344;0.38837;0.50527;0.49205;0.46738;0.44033;0.45943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apr1951;0.18909;0.17947;0.33237;0.29986;0.0759;-0.08224;-0.51388;-0.18942;0.09234;0.59959;0.38272;0.49607;0.48517;0.46451;0.43769;0.45869;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
May1951;0.15642;0.19873;0.19242;0.30166;0.27481;0.12365;-0.00014;-0.33161;-0.09672;0.1255;0.56044;0.38035;0.494;0.49219;0.47968;0.45452;0.4806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jun1951;0.96653;0.75005;0.70091;0.67993;0.74269;0.71699;0.59199;0.47302;0.16471;0.34662;0.48968;0.82279;0.66823;0.76268;0.76591;0.7537;0.73076;0.75575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jul1951;0.21146;0.74622;0.669;0.65347;0.63303;0.69015;0.67116;0.56746;0.46009;0.18977;0.35844;0.48065;0.78749;0.65162;0.7307;0.73151;0.71986;0.69795;0.7229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aug1951;0.4816;0.46203;0.87143;0.80292;0.78759;0.77456;0.83073;0.8164;0.72413;0.62418;0.35402;0.50689;0.61592;0.90785;0.76815;0.83965;0.84093;0.82815;0.80608;0.83073;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sep1951;0.435;0.61437;0.54912;0.8831;0.8182;0.80479;0.78603;0.83384;0.82549;0.74573;0.66131;0.42472;0.56345;0.66324;0.93257;0.80786;0.87276;0.87397;0.86227;0.84285;0.86651;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oct1951;0.29204;0.40464;0.59558;0.55524;0.86009;0.80869;0.79123;0.77379;0.81987;0.81131;0.72977;0.65272;0.4287;0.55914;0.65663;0.92077;0.81109;0.87617;0.87518;0.86385;0.84608;0.86968;;;;;;;;;;;;;;;;;;;;;;;;;;
Nov1951;-0.00491;0.16399;0.35353;0.57052;0.52505;0.83899;0.79031;0.77864;0.75918;0.80694;0.79808;0.71554;0.63702;0.41328;0.54596;0.64559;0.91073;0.79775;0.8587;0.85632;0.8471;0.82899;0.85201;;;;;;;;;;;;;;;;;;;;;;;;;
Dec1951;0.21918;0.10744;0.17225;0.35454;0.56074;0.53064;0.83579;0.79074;0.78142;0.76261;0.80984;0.80168;0.72108;0.64529;0.42495;0.55265;0.65113;0.91165;0.80229;0.8621;0.86111;0.85067;0.83278;0.8545;;;;;;;;;;;;;;;;;;;;;;;;
Jan1952;-0.1518;0.00393;0.01876;0.12999;0.31862;0.5292;0.50317;0.80445;0.76587;0.7623;0.73945;0.78697;0.7797;0.70058;0.62513;0.40722;0.53023;0.62945;0.88956;0.77879;0.83617;0.83429;0.8216;0.80328;0.82423;;;;;;;;;;;;;;;;;;;;;;;
Feb1952;0.15888;0.03505;0.08423;0.05163;0.13806;0.30534;0.51096;0.49682;0.79665;0.75897;0.75809;0.73672;0.78465;0.77761;0.70046;0.62637;0.41188;0.53272;0.63075;0.89124;0.78259;0.83764;0.83526;0.82104;0.8033;0.82374;;;;;;;;;;;;;;;;;;;;;;
Mar1952;0.34428;0.32421;0.25554;0.30749;0.22318;0.26288;0.38559;0.57987;0.54407;0.82314;0.78486;0.77834;0.76129;0.80833;0.80168;0.72686;0.65086;0.44165;0.56034;0.6504;0.89866;0.80238;0.85442;0.85552;0.84228;0.82378;0.84343;;;;;;;;;;;;;;;;;;;;;
Apr1952;-0.16048;-0.07047;-0.06295;-0.09708;-0.03698;-0.08642;0.02679;0.22284;0.45764;0.43094;0.72489;0.69819;0.69142;0.67505;0.72183;0.71381;0.63735;0.5614;0.35784;0.48169;0.56988;0.81837;0.71989;0.77246;0.77424;0.76682;0.74826;0.7695;;;;;;;;;;;;;;;;;;;;
May1952;-0.38821;-0.34907;-0.2448;-0.26844;-0.29675;-0.26282;-0.27815;-0.17359;0.0188;0.23589;0.24641;0.56566;0.55936;0.55371;0.54732;0.59522;0.5889;0.51696;0.44668;0.24481;0.36751;0.46507;0.72104;0.62593;0.67985;0.68186;0.67386;0.65568;0.67678;;;;;;;;;;;;;;;;;;;
Jun1952;-1.08488;-0.96195;-0.90154;-0.76248;-0.75293;-0.7634;-0.73575;-0.71911;-0.60007;-0.43175;-0.21069;-0.1334;0.21295;0.23061;0.23461;0.23344;0.28004;0.2762;0.22487;0.16809;-0.01371;0.09531;0.21136;0.48842;0.39298;0.4487;0.45109;0.44117;0.42476;0.44471;;;;;;;;;;;;;;;;;;
Jul1952;-0.18625;-0.83438;-0.86762;-0.87037;-0.76575;-0.75784;-0.76425;-0.72473;-0.70891;-0.61506;-0.46509;-0.25996;-0.18287;0.13346;0.14591;0.14745;0.14904;0.19196;0.18848;0.14405;0.09451;-0.07372;0.03017;0.1424;0.42112;0.33199;0.39121;0.39483;0.38554;0.37131;0.39051;;;;;;;;;;;;;;;;;
Aug1952;-0.1222;-0.22809;-0.73183;-0.79949;-0.84014;-0.7565;-0.74865;-0.75312;-0.71516;-0.70185;-0.61652;-0.46485;-0.2662;-0.19304;0.11586;0.12501;0.12712;0.12812;0.16917;0.16587;0.12821;0.08149;-0.08032;0.0232;0.1338;0.40499;0.31782;0.37697;0.37995;0.37261;0.3589;0.37737;;;;;;;;;;;;;;;;
Sep1952;-1.2105;-0.81759;-0.75186;-1.06129;-1.07525;-1.10545;-1.02078;-1.01111;-1.01166;-0.97012;-0.95428;-0.86184;-0.71135;-0.5089;-0.4275;-0.1217;-0.10342;-0.0958;-0.08767;-0.04727;-0.05003;-0.07949;-0.12087;-0.2685;-0.17081;-0.05928;0.21067;0.12789;0.18977;0.19281;0.18816;0.17542;0.19373;;;;;;;;;;;;;;;
Oct1952;-1.03335;-1.52021;-1.20555;-1.06259;-1.29132;-1.28447;-1.29748;-1.20959;-1.19713;-1.19531;-1.15308;-1.13446;-1.04467;-0.90133;-0.70562;-0.61377;-0.31164;-0.2834;-0.2699;-0.25584;-0.21619;-0.21851;-0.24431;-0.28101;-0.41434;-0.32204;-0.21026;0.05913;-0.01987;0.04152;0.04545;0.04252;0.03044;0.04882;;;;;;;;;;;;;;
Nov1952;0.56351;-0.5174;-1.16327;-0.99701;-0.9108;-1.16958;-1.1795;-1.19319;-1.11116;-1.10204;-1.10455;-1.06746;-1.05415;-0.97383;-0.83726;-0.65009;-0.56152;-0.26284;-0.23605;-0.22441;-0.21142;-0.17234;-0.17382;-0.2008;-0.2378;-0.37186;-0.27982;-0.17077;0.09767;0.01974;0.0797;0.08281;0.07848;0.06682;0.08518;;;;;;;;;;;;;
Dec1952;-0.21209;0.28724;-0.56682;-1.15029;-0.99949;-0.92346;-1.17412;-1.18512;-1.1978;-1.11774;-1.1085;-1.11105;-1.07539;-1.06355;-0.98283;-0.84818;-0.66489;-0.57747;-0.28137;-0.25323;-0.24143;-0.22833;-0.1895;-0.19102;-0.21777;-0.25436;-0.38642;-0.29541;-0.18768;0.07895;0.0022;0.06296;0.06673;0.06237;0.0509;0.06898;;;;;;;;;;;;
Jan1953;-0.49921;-0.4427;0.10521;-0.64335;-1.2009;-1.05295;-0.96262;-1.19241;-1.2015;-1.22117;-1.14313;-1.13215;-1.1341;-1.09687;-1.08926;-1.00813;-0.87645;-0.695;-0.61177;-0.32124;-0.29585;-0.28239;-0.26959;-0.23062;-0.23204;-0.25804;-0.29384;-0.4242;-0.33528;-0.22965;0.0356;-0.04069;0.02108;0.0251;0.01978;0.00858;0.02634;;;;;;;;;;;
Feb1953;0.25338;-0.10489;-0.19257;0.16413;-0.527;-1.09397;-0.97654;-0.90898;-1.14206;-1.16099;-1.18921;-1.11242;-1.10151;-1.10415;-1.06526;-1.05908;-0.97858;-0.84725;-0.66922;-0.59023;-0.30447;-0.27939;-0.26625;-0.25214;-0.21377;-0.21539;-0.24071;-0.27634;-0.40719;-0.31962;-0.21574;0.04836;-0.02738;0.03365;0.03729;0.03176;0.02075;0.0384;;;;;;;;;;
Mar1953;0.05147;0.13561;-0.05871;-0.13195;0.12224;-0.47066;-1.02771;-0.94145;-0.88772;-1.11646;-1.14244;-1.17834;-1.1036;-1.09321;-1.09539;-1.05395;-1.04867;-0.96697;-0.8408;-0.6591;-0.5801;-0.2988;-0.27828;-0.26476;-0.25183;-0.21429;-0.21646;-0.24037;-0.27537;-0.40505;-0.31868;-0.2146;0.04773;-0.02912;0.03339;0.03675;0.0313;0.02035;0.03831;;;;;;;;;
Apr1953;0.77923;0.62567;0.62962;0.47402;0.41232;0.53918;0.01766;-0.53026;-0.51642;-0.53829;-0.81162;-0.88571;-0.94571;-0.88092;-0.87094;-0.87654;-0.83758;-0.83874;-0.76608;-0.65086;-0.47496;-0.41066;-0.14462;-0.13382;-0.12431;-0.11365;-0.07594;-0.07795;-0.10321;-0.13859;-0.273;-0.18775;-0.08814;0.16481;0.08906;0.15036;0.15422;0.14642;0.13614;0.15422;;;;;;;;
May1953;-0.00598;0.39393;0.35696;0.38092;0.28473;0.24884;0.38489;-0.02069;-0.47388;-0.47632;-0.49309;-0.75986;-0.84098;-0.91062;-0.85227;-0.84212;-0.84829;-0.81055;-0.81521;-0.74927;-0.64055;-0.46357;-0.39636;-0.13669;-0.12603;-0.1146;-0.10389;-0.06497;-0.06729;-0.09456;-0.12831;-0.26501;-0.18028;-0.07867;0.17306;0.09408;0.15695;0.1601;0.15239;0.14193;0.1603;;;;;;;
Jun1953;-0.42467;-0.29231;0.02853;0.03644;0.07126;0.01549;-0.0067;0.13707;-0.16324;-0.53322;-0.52882;-0.53308;-0.74931;-0.83592;-0.91183;-0.86025;-0.84915;-0.85222;-0.80996;-0.81765;-0.75608;-0.6544;-0.48088;-0.42105;-0.17872;-0.1688;-0.15502;-0.14393;-0.10472;-0.10621;-0.13492;-0.16246;-0.29177;-0.21297;-0.11486;0.12331;0.04531;0.10854;0.11371;0.1076;0.09832;0.11718;;;;;;
Jul1953;0.0246;-0.25325;-0.22528;0.04307;0.04164;0.06402;0.01381;-0.00429;0.09981;-0.17209;-0.50094;-0.4926;-0.50486;-0.72126;-0.80084;-0.86705;-0.82405;-0.81602;-0.82028;-0.7823;-0.7908;-0.73186;-0.63813;-0.4814;-0.42518;-0.19505;-0.18581;-0.17129;-0.16131;-0.12216;-0.12377;-0.15277;-0.17955;-0.30275;-0.22621;-0.13073;0.10611;0.03293;0.09663;0.10237;0.09728;0.08803;0.1062;;;;;
